UT	AF	TI	SO	AB	C1	PY	WC	author	gender.x	author_male	gender.y	author_female
ISI000431189900002	DEL CHIAPPA, GIACOMO; GALLARZA, MARTINA G.; DALL'AGLIO, STEFANO	A RELATIVISTIC VALUE-BASED APPROACH TO INTERPRETING E-RATING AND E-COMPLAINING BEHAVIOUR IN THE HOSPITALITY SECTOR	EUROPEAN JOURNAL OF TOURISM RESEARCH	"\\\""THIS STUDY BROADENS THE UNDERSTANDING AROUND THE TOPICS OF E-RATING AND E-COMPLAINING BY ADOPTING A VALUE-BASED APPROACH. IN THE CONSUMER BEHAVIOUR LITERATURE, VALUE IS UNDERSTOOD AS A \\\""RELATIVISTIC PREFERENCE EXPERIENCE\\\"" (I.E. AN EVALUATION OUTCOME THAT VARIES ACROSS SUBJECTS, OBJECTS AND CONTEXTS). E-RATINGS AND E-COMPLAINTS CAN BE ANALYSED THROUGH THIS THEORETICAL LENS TO INVESTIGATE WHETHER ANY SIGNIFICANT DIFFERENCES EXIST RELATING TO TOURISTS' SOCIO-DEMOGRAPHIC CHARACTERISTICS (VARIATION ACROSS SUBJECTS: GENDER AND NATIONALITY), THE CHARACTERISTICS OF THE HOTELS RATED (ACROSS OBJECTS: HOTEL CATEGORY AND SIZE) AND THE PARTY WITH WHICH THE TOURISTS ARE TRAVELLING AND THE TIME OF THEIR STAY (ACROSS CONTEXTS). THIS STUDY MEASURES AND INTERPRETS THESE DIFFERENCES IN A SAMPLE OF 727 REVIEWS IN WHICH TOURISTS EXPRESSED THEIR EXPERIENCE OF HOTELS LOCATED IN ARZACHENA-COSTA SMERALDA (SARDINIA, ITALY). THE FINDINGS REVEAL THAT SIGNIFICANT VARIATIONS IN TRAVELLERS' RATING BEHAVIOUR EXIST ONLY ACROSS OBJECTS (I.E. HOTEL CATEGORY AND SIZE) AND CONTEXTS (I.E. TIME OF THE STAY). HOWEVER, WHEN COMPLAINING BEHAVIOUR IS CONSIDERED, SIGNIFICANT VARIATIONS ARE REPORTED TO EXIST ACROSS SUBJECTS (I.E. GENDER AND COUNTRY OF ORIGIN), OBJECTS (HOTEL CATEGORY AND SIZE) AND CONTEXTS (I.E. TRAVEL PARTY). CONTRIBUTIONS TO THE THEORY AND MANAGERIAL IMPLICATIONS ARE DISCUSSED, AND SUGGESTIONS FOR FURTHER RESEARCH ARE MADE. (C) 2018 VARNA UNIVERSITY OF MANAGEMENT. ALL RIGHTS RESERVED\\""\"""""	[DEL CHIAPPA, GIACOMO] UNIV SASSARI, DEPT ECON & BUSINESS, SARDINIA, ITALY.; [DEL CHIAPPA, GIACOMO] CRENOS, SARDINIA, ITALY.; [DEL CHIAPPA, GIACOMO] VIA MURONI 25, I-07100 SASSARI, ITALY.; [GALLARZA, MARTINA G.] UNIV VALENCIA, MKT DEPT, VALENCIA, SPAIN.; [GALLARZA, MARTINA G.] FAC ECON, AVDA NARANJOS S-N, VALENCIA 46022, SPAIN.; [DALL'AGLIO, STEFANO] ECONSTAT, BOLOGNA, ITALY.	2018	HOSPITALITY, LEISURE, SPORT & TOURISM	3.0	male	2.0	female	1.0
ISI000431046900003	BERISHA, MILAIM; CILLI, MURAT	NORMATIVE VALUES FOR PHYSICAL FITNESS IN CHILDREN AGED 11-17 IN KOSOVO	PEDAGOGICS PSYCHOLOGY MEDICAL-BIOLOGICAL PROBLEMS OF PHYSICAL TRAINING AND SPORTS	PURPOSE: IN THE PRESENT STUDY, THE PURPOSE WAS TO DETERMINE THE NORMATIVE VALUES FOR PHYSICAL AND BIOMOTORIC CHARACTERISTICS OF CHILDREN AGED 11-17 IN KOSOVO. MATERIAL: 742 STUDENTS WHO WERE SELECTED ACCORDING TO THE RANDOM SAMPLING METHOD FROM 24 SCHOOLS DETERMINED IN THE CITIES AND RURAL AREAS IN ALL REGIONS WERE INCLUDED IN THE STUDY (N = 347 GIRLS, N = 395-BOYS). VOLUNTEERING STUDENTS WHO DID NOT HAVE ANY ACUTE OR CHRONIC DISEASE THAT MIGHT AVOID TESTING WERE INCLUDED IN THE STUDY AFTER THE PERMISSIONS WERE RECEIVED FROM THE MINISTRY OF NATIONAL EDUCATION, PRINCIPALS OF THE SCHOOLS, AND THE SUPPORT OF THE PARENTS. THE DECLARATIONS OF HELSINKI WERE TAKEN INTO CONSIDERATION IN THE STUDY. RESULTS: THE RESULTS OF EACH TEST WERE GIVEN AS THE NORM VALUES ACCORDING TO GENDER AND AGE TOGETHER WITH 20% GROUPS, WHICH IS CONSIDERED AS THE CANADIAN STANDARD. THE DATA ON THE PHYSICAL AND BIOMOTORIC CHARACTERISTICS OF THE CHILDREN LIVING IN KOSOVO WERE COMPARED WITH THE DATA OF THE WORLD HEALTH ORGANIZATION AND THE LITERATURE DATA OF OTHER COUNTRIES. CONCLUSIONS: WHILE THE CHILDREN LIVING IN KOSOVO SHOWED HIGHER PERFORMANCES IN THE TESTS THAT WERE AFFECTED BY ANTHROPOMETRIC PROPERTIES LIKE HEIGHT AND BODY FAT PERCENTAGE AND BY GENETIC PROPERTIES LIKE THE SPEED OF THE MOVEMENTS OF THE ARMS WHEN COMPARED WITH THE CHILDREN FROM OTHER COUNTRIES FROM THE SAME AGE GROUP; THEY HAD LOWER PERFORMANCES IN THE TESTS THAT WERE AFFECTED BY LIFE STYLE AND PHYSICAL ACTIVITY LEVELS LIKE ENDURANCE, LONG JUMP, AND FLEXIBILITY.	[BERISHA, MILAIM] SAKARYA UNIV, INST EDUC SCI, FAC SPORTS SCI, ESENTEPE CAMPUS, TR-54187 SERDIVAN SAKARYA, TURKEY.; [CILLI, MURAT] SAKARYA UNIV, FAC SPORTS SCI, DEPT COACHING EDUC, ESENTEPE CAMPUS, TR-54187 SERDIVAN SAKARYA, TURKEY.	2018	HOSPITALITY, LEISURE, SPORT & TOURISM	1.0	male	1.0		
ISI000431108900006	GIACCIO, VINCENZO; GIANNELLI, AGOSTINO; MASTRONARDI, LUIGI	EXPLAINING DETERMINANTS OF AGRI-TOURISM INCOME: EVIDENCE FROM ITALY	TOURISM REVIEW	PURPOSE - THE PURPOSE OF THIS PAPER IS TO ANALYZE THE INCOME SOURCES OF ITALIAN FARM TOURISM BUSINESSES, CONSIDERING SOME ECONOMIC, SOCIAL AND ENVIRONMENTAL VARIABLES THAT REPRESENT INTERNAL BUSINESS FACTORS AND HIGHLIGHTING THEIR CONTRIBUTION TO THE DEVELOPMENT OF THIS INCOME. DESIGN/METHODOLOGY/APPROACH - THE EMPIRICAL ANALYSIS IS BASED ON THE ITALIAN SECTION OF THE FARM ACCOUNTANCY DATA NETWORK (FADN) THAT INCLUDES 365 ITALIAN FARM TOURISM BUSINESSES. FADN IS AN INSTRUMENT TO ASSESS THE INCOME OF EUROPEAN AGRICULTURAL HOLDINGS AND THE IMPACTS OF THE COMMON AGRICULTURAL POLICY. THE ANALYSIS HAS BEEN CARRIED OUT THROUGH A MULTIVARIATE REGRESSION MODEL. FINDINGS - THE RESULTS OF THIS PAPER HAVE SHOWED THAT SOME ECONOMIC VARIABLES (FOOD SERVICE, DIRECT SELLING AND PUBLIC SUBSIDIES) DETERMINE AN INCREASE IN FARM INCOME, WHEREAS AN INCREASED NUMBER OF FAMILY EMPLOYEES MAY HAVE A NEGATIVE IMPACT ON THIS INCOME. RESEARCH LIMITATIONS/IMPLICATIONS - EXTERNAL FACTORS, SUCH AS PROXIMITY TO URBAN OR CULTURAL CENTRES, MAY IMPACT ON AGRI-TOURISM INCOME, BUT THESE ARE NOT CONSIDERED IN THE STATISTICAL ANALYSES. ANOTHER LIMIT OF THIS PAPER IS THE EXCLUSION OF TOURISTS' MOTIVATIONAL VARIABLES AND OTHERS MOSTLY REFERRING TO THE MARKET (PRICING POLICIES, PROMOTIONAL STRATEGIES, ETC.). FURTHERMORE, THIS PAPER FOCUSES ON A SPECIFIC COUNTRY AND THIS COULD REDUCE THE GENERALIZATION OF ITS RESULTS. PRACTICAL IMPLICATIONS - THANKS TO THE SELECTED REGRESSION DRIVERS, FARMERS WHO OFFER TOURISM SERVICES COULD RECOGNIZE A PRIORI THEIR ENTREPRENEURIAL OPPORTUNITIES AND UNDERSTAND THE VARIABLES ON WHICH TO FOCUS TO INCREASE THEIR INCOME, WHICH COULD BE IN TURN STRENGTHENED BY POLICIES SEEKING TO DEVELOP THE ENDOGENOUS POTENTIAL. SOCIAL IMPLICATIONS - AGRI-TOURISM CAN FULFILL VARIOUS FUNCTIONS IN THE REGIONAL ECONOMY, WITH POSITIVE IMPLICATIONS FOR THE QUALITY OF LIFE OF RURAL SOCIETIES. ORIGINALITY/VALUE - ON THE EUROPEAN LEVEL, THERE IS CURRENTLY A LACK OF RESEARCH STUDYING THE VARIABLES AFFECTING AGRI-TOURISM REVENUE AND ENTREPRENEURIAL CHOICE THAT MOSTLY DEFINE PROFITABILITY. THIS MAY BE THE FIRST TIME THAT FADN DATA SET HAS BEEN UTILIZED FOR RESEARCHING FARM TOURISM BUSINESSES IN EUROPE.	[GIACCIO, VINCENZO] UNIV MOLISE, DEPT ECON, CAMPOBASSO, ITALY.; [GIANNELLI, AGOSTINO] UNIV MOLISE, DEPT BIOSCI & TERR, PESCHE, ITALY.; [MASTRONARDI, LUIGI] UNIV MOLISE, DEPT ECON, CAMPOBASSO, ITALY.	2018	HOSPITALITY, LEISURE, SPORT & TOURISM	3.0	male	3.0		
ISI000431068300001	DUBRETA, NIKSA; BULIAN, LUKA	ENGINEERING JOB SKILLS IN CROATIAN ECONOMY: EMPLOYERS' PERSPECTIVE	INTERDISCIPLINARY DESCRIPTION OF COMPLEX SYSTEMS	"\\\""DIFFERENT ACTORS, OR STAKEHOLDERS, ARE INTERESTED AND WANT TO PARTICIPATE IN DISCUSSIONS AND INTERVENTIONS RELATED TO THE TOPIC OF SKILLS AS AN IMPORTANT OUTCOME OF ENGINEERING EDUCATION. IN THE CROATIAN CONTEXT, THE ENTIRE PROCESS IS STILL PREDOMINANTLY INTERNALLY DRIVEN AND DETERMINED BY ACADEMIC EVALUATIONS WHILE THE INVOLVEMENT OF THE ALUMNI AND EMPLOYERS AS EXTERNAL STAKEHOLDERS IS SPORADIC AND UNDER RESEARCHED. SINCE CROATIAN EMPLOYERS ARE NOT SUFFICIENTLY FAMILIAR WITH THE LEVELS AND STRUCTURES OF REFORMED STUDY PROGRAMS, THE MAIN OBJECTIVE OF THIS RESEARCH WAS TO ASSESS TO WHAT EXTENT THE CURRENT AND LARGELY ACCEPTED SET OF ENGINEERING SKILLS FIT THEIR EXPECTATIONS. BY REVIEWING AVAILABLE LITERATURE, 36 KEY SKILLS WERE IDENTIFIED AND USED IN A QUESTIONNAIRE ADMINISTRATED TO CROATIAN EMPLOYERS, RESULTING IN 418 COMPLETED AND USABLE RESPONSES. RESULTS SHOW THAT EMPLOYERS FIND EVERY ASSESSED SKILL AS SOMEWHAT/EXTREMELY VALUABLE. HOWEVER, IT IS FOUND THAT EMPLOYERS MOST VALUED SKILLS RELATED TO THE WIDER SET OF TRANSFERABLE SKILLS WITH SOMEWHAT GREATER EMPHASES ON SKILLS THAT REFLECT PROFESSIONALISM AND WORK ETHIC. IN GENERAL, IT TURNED OUT THAT EMPLOYERS APPROACH TRANSFERABLE SKILLS IN TERMS OF THEIR FUNCTIONALITY. MEAN COMPARISON WITHIN SUBGROUPS HAS SHOWN STATISTICALLY SIGNIFICANT DIFFERENCES WITH REGARD TO RESPONDENT'S GENDER. IN GENERAL, WOMEN FIT THE THEORIZED DIMENSIONS MORE THAN THEIR MALE COUNTERPARTS, PERHAPS INDICATING THAT THEY UNDERSTAND ALL SKILLS, AND TRANSFERABLE SKILLS IN PARTICULAR, MORE HOLISTICALLY THAN MEN. FINALLY, IN ORDER TO UNDERSTAND THE UNDERLYING STRUCTURE OF THE EXPLORED ITEMS, EXPLORATORY FACTOR ANALYSIS WAS EMPLOYED, RESULTING IN 8 CLEAR DIMENSIONS SUGGESTING ENGINEERING \\\""EMPLOYABILITY SKILLS\\\"" IN THE CROATIAN CONTEXT.\\""\"""""	[DUBRETA, NIKSA; BULIAN, LUKA] UNIV ZAGREB, FAC MECH ENGN & NAVAL ARCHITECTURE, ZAGREB, CROATIA.	2018	SOCIAL SCIENCES, INTERDISCIPLINARY	1.0	male	1.0		
ISI000430841300008	SEOW, DANA; BROWN, LORRAINE	THE SOLO FEMALE ASIAN TOURIST	CURRENT ISSUES IN TOURISM	THIS QUALITATIVE STUDY EXPLORES THE TRAVEL MOTIVATIONS AND EXPERIENCES OF SOLO FEMALE ASIAN TOURISTS. DATA WERE COLLECTED FROM 10 IN-DEPTH INTERVIEWS WITH A FOCUS ON ASIAN WOMEN'S TRAVEL MOTIVATIONS, EXPERIENCES AND CONSTRAINTS. THEMATIC ANALYSIS WAS USED TO ANALYSE THE DATA. RESISTANCE WAS FOUND TO BE AN IMPORTANT FACTOR AS IN ORDER TO TRAVEL SOLO, THE PARTICIPANTS HAD TO RESIST SOCIOCULTURAL EXPECTATIONS FOR ASIAN WOMEN'S BEHAVIOUR. SEXUALISED MALE ATTENTION WAS ALSO FOUND TO BE AN IMPORTANT CONSTRAINT. SUFFERING HARASSMENT FROM MEN IN THE DESTINATIONS THEY VISITED, THE WOMEN BECAME FEARFUL OF ATTACK OR ABUSE, AND THIS LIMITED THEIR USE OF THE LEISURE SPACE OFFERED AT THE DESTINATION. BEING ASIAN WAS FELT TO FURTHER INCREASE THEIR VULNERABILITY. NONE OF THESE FACTORS HOWEVER DETERRED THE WOMEN FROM FUTURE SOLO TRAVEL PLANS.	[SEOW, DANA; BROWN, LORRAINE] BOURNEMOUTH UNIV, DEPT TOURISM & HOSPITALITY, POOLE, DORSET, ENGLAND.	2018	HOSPITALITY, LEISURE, SPORT & TOURISM	2.0			female	2.0
ISI000430320900004	NICELY, ANNMARIE; ARMADITA, FILZA	SYMPATHY AND LOYALTY INTENTION AFTER VISITOR HARASSMENT	INTERNATIONAL JOURNAL OF CULTURE TOURISM AND HOSPITALITY RESEARCH	PURPOSE THE PURPOSE OF THIS STUDY WAS TO, FIRST, DETERMINE THE DEMOGRAPHIC PREDICTORS OF THE EXTENT A VISITOR WOULD FEEL SYMPATHETIC AFTER A VISITOR HARASSMENT (VH) EPISODE AND, SECOND, TO ASCERTAIN WHETHER THERE WERE ANY SIGNIFICANT CONNECTIONS BETWEEN A VISITOR FEELING SYMPATHETIC AFTER SUCH AN EPISODE AND HIS OR HER LOYALTY INTENTIONS TOWARD THE DESTINATION. DESIGN/METHODOLOGY/APPROACH A SURVEY RESEARCH WAS CONDUCTED. SNOWBALLING WAS USED FOR THE ONLINE SURVEY AND ACCIDENTAL SAMPLING FOR THE PAPER SURVEY. THE DATA WERE ANALYZED USING ORDINAL LOGISTIC REGRESSION ANALYSES. A TOTAL OF 634 SURVEYS WERE ANALYZED. FINDINGS THE FOLLOWING WERE FOUND. FIRST, SYMPATHY WAS NOT A COMMON EMOTION VISITORS EXPERIENCED AFTER BEING HARASSED BY A TRADER AT A TOURIST DESTINATION. SECOND, THE DEMOGRAPHIC FACTORS AGE, GENDER, INCOME AND EDUCATIONAL LEVELS WERE NOT SIGNIFICANT PREDICTORS OF THE EXTENT TO WHICH VISITORS WOULD BE SYMPATHETIC AFTER A VH EPISODE. SYMPATHY WAS A SIGNIFICANT PREDICTOR OF VISITORS' INTENTION TO RECOMMEND THE DESTINATION AND SUPPORT THE TRADERS IN THE FUTURE BUT NOT OF VISITORS' INTENTION TO RETURN TO THE DESTINATION. RESEARCH LIMITATIONS/IMPLICATIONS THE STUDY WAS EXPLORATORY, AND HENCE, THE FINDINGS WERE PRELIMINARY. PRACTICAL IMPLICATIONS THE FINDINGS COULD LEAD TO NEW LOCAL RESPONSES TO THE PROBLEM OF VH AT TOURIST DESTINATIONS. ORIGINALITY/VALUE THE STUDY WAS THE FIRST KNOWN TO LOOK AT VISITOR SYMPATHY AFTER A VH EPISODE.	[NICELY, ANNMARIE; ARMADITA, FILZA] PURDUE UNIV SYST, W LAFAYETTE, IN 47907 USA.	2018	HOSPITALITY, LEISURE, SPORT & TOURISM	2.0			female	2.0
ISI000430481800001	LOGAN, EMMA L.; THORNTON, JENNIFER A.; KANE, ROBERT T.; BREEN, LAUREN J.	SOCIAL SUPPORT FOLLOWING BEREAVEMENT: THE ROLE OF BELIEFS, EXPECTATIONS, AND SUPPORT INTENTIONS	DEATH STUDIES	SOCIAL SUPPORT IS ONE OF THE STRONGEST DETERMINANTS OF BEREAVEMENT OUTCOMES, YET LITTLE IS UNDERSTOOD ABOUT THE COMMUNITY'S RECOGNITION OF GRIEF AND INTENTIONS TO PROVIDE SOCIAL SUPPORT TO GRIEVING PERSONS. A TOTAL OF 476 ADULTS RESPONDED TO AN ONLINE VIGNETTE AND QUESTIONNAIRE MEASURING GRIEF NORMS AND SUPPORTIVE INTENTIONS. RESPONDENT GENDER, AGE, AND BEREAVEMENT STATUS ALL HAD SOME ASSOCIATION WITH EXPECTATIONS OF GRIEF, INTENTIONS TO SUPPORT, PERCEIVED HELPFULNESS OF SUPPORT ATTEMPTS, AND OPINIONS TOWARD THE DIAGNOSTIC CLASSIFICATION OF GRIEF. GIVEN THAT MOST BEREAVEMENT SUPPORT IS INFORMAL, THIS STUDY INFORMS THE DEVELOPMENT OF COMMUNITY CAPACITY TO PROVIDE CONSTRUCTIVE, TIMELY BEREAVEMENT SUPPORT.	[LOGAN, EMMA L.; THORNTON, JENNIFER A.; KANE, ROBERT T.; BREEN, LAUREN J.] CURTIN UNIV, SCH PSYCHOL & SPEECH PATHOL, GPO BOX U1987, PERTH, WA 6845, AUSTRALIA.	2018	PSYCHOLOGY, MULTIDISCIPLINARY; SOCIAL ISSUES; SOCIAL SCIENCES, BIOMEDICAL	4.0	male	1.0	female	3.0
ISI000430099000001	BAUER, NICHOLE M.	UNTANGLING THE RELATIONSHIP BETWEEN PARTISANSHIP, GENDER STEREOTYPES, AND SUPPORT FOR FEMALE CANDIDATES	JOURNAL OF WOMEN POLITICS & POLICY	EXISTING LITERATURE DEBATES WHETHER GENDER STEREOTYPES OR PARTISANSHIP HAS A GREATER EFFECT ON EVALUATIONS OF FEMALE CANDIDATES. FEMININE STEREOTYPES ARE CONSIDERED INCONGRUENT WITH LEADERSHIP ROLES, BUT PARTISANSHIP IS ALSO AN IMPORTANT CUE FOR MANY VOTERS. COMPLICATING THE INFLUENCE OF FEMININE STEREOTYPES IS THAT THIS CONCEPT OVERLAPS WITH STEREOTYPES ABOUT THE DEMOCRATIC PARTY. THIS MANUSCRIPT EXAMINES THE INFLUENCE OF PARTISANSHIP AND FEMININE STEREOTYPES IN HOW VOTERS PERCEIVE FEMALE CANDIDATES. USING AN ORIGINAL SURVEY EXPERIMENT, THE RESULTS UNCOVER SEVERAL FINDINGS. FIRST, PARTISANSHIP AND GENDER DO NOT COMBINE TO ACTIVATE FEMININE STEREOTYPES. SECOND, FEMININE INFORMATION ACTIVATES FEMININE STEREOTYPES FOR ONLY DEMOCRATIC FEMALE CANDIDATES WHILE MASCULINE INFORMATION PREVENTS FEMININE STEREOTYPING FOR ALL CANDIDATE TYPES. OVERALL, VOTERS EVALUATE DEMOCRATIC FEMALE CANDIDATES FAVORABLY WHEN THEY HAVE FEMININE OR MASCULINE INFORMATION, BUT REPUBLICAN FEMALE CANDIDATES RECEIVE EVALUATIONS THAT ARE MORE CRITICAL. THESE RESULTS SUGGEST THAT FEMININE STEREOTYPES AND PARTISANSHIP JOINTLY AFFECT PERCEPTIONS OF FEMALE CANDIDATES.	[BAUER, NICHOLE M.] LOUISIANA STATE UNIV, POLIT SCI, BATON ROUGE, LA 70803 USA.	2018	POLITICAL SCIENCE; WOMEN'S STUDIES	1.0			female	1.0
ISI000430099000002	VERGE, TANIA; PASTOR, RAQUEL	WOMEN'S POLITICAL FIRSTS AND SYMBOLIC REPRESENTATION	JOURNAL OF WOMEN POLITICS & POLICY	"\\\""THE EXTENT TO WHICH POLITICS IS STILL A \\\""MAN'S GAME\\\"" IS MADE EVIDENT EVERY TIME A TOP POLITICAL OFFICE HAS A FEMALE HOLDER FOR THE FIRST TIME. THESE INCREDIBLY REVEALING MOMENTS MAY GIVE A NEW SOCIAL MEANING TO WOMEN IN POLITICS-WOMEN'S POLITICAL PRESENCE- AND WOMEN AND POLITICS-GENDERED SOCIAL CONSTRUCTIONS ABOUT WOMEN'S CAPACITY TO RULE. THIS ARTICLE EXPLORES THE TYPES OF GENDERED MEDIATION UNDERPINNING THE REPRESENTATION OF FIRST-EVER WOMEN SERVING IN HISTORICALLY MALE-DOMINATED POLITICAL OFFICES IN SPAIN. IT SHOWS THAT GENDER MEDIA FRAMES ARE PERVASIVE, WHICH MAY LEAD TO AN EFFECTIVE ANNIHILATION OF WOMEN'S SYMBOLIC REPRESENTATION.\\""\"""""	[VERGE, TANIA] UNIV POMPEU FABRA, DEPT POLIT & SOCIAL SCI, RAMON TRIAS FARGAS 25, BARCELONA 08005, CATALONIA, SPAIN.; [PASTOR, RAQUEL] UNIV CADIZ, DEPT ECON, SOCIOL AREA, CADIZ, ANDALUSIA, SPAIN.	2018	POLITICAL SCIENCE; WOMEN'S STUDIES	2.0			female	2.0
ISI000430099000003	ARTHUR, MEGAN; EARLE, ALISON; RAUB, AMY; VINCENT, ILONA; ATABAY, EFE; LATZ, ISABEL; KRANZ, GABRIELLA; NANDI, ARIJIT; HEYMANN, JODY	CHILD MARRIAGE LAWS AROUND THE WORLD: MINIMUM MARRIAGE AGE, LEGAL EXCEPTIONS, AND GENDER DISPARITIES	JOURNAL OF WOMEN POLITICS & POLICY	THE MARRIAGE OF CHILDREN BELOW 18 IS WIDELY RECOGNIZED IN INTERNATIONAL HUMAN RIGHTS AGREEMENTS AS A DISCRIMINATORY GLOBAL PRACTICE THAT HINDERS THE DEVELOPMENT AND WELL-BEING OF HUNDREDS OF MILLIONS OF GIRLS. USING A NEW GLOBAL POLICY DATABASE, WE ANALYZE NATIONAL LEGISLATION REGARDING MINIMUM MARRIAGE AGE, EXCEPTIONS PERMITTING MARRIAGE AT EARLIER AGES, AND GENDER DISPARITIES IN LAWS. WHILE OUR LONGITUDINAL DATA INDICATE IMPROVEMENTS IN FREQUENCIES OF COUNTRIES WITH LEGAL PROVISIONS THAT PROHIBIT MARRIAGE BELOW THE AGE OF 18, IMPORTANT GAPS REMAIN IN ELIMINATING LEGAL EXCEPTIONS AND GENDER DISCRIMINATION.	[ARTHUR, MEGAN; EARLE, ALISON; RAUB, AMY; LATZ, ISABEL; HEYMANN, JODY] UNIV CALIF LOS ANGELES, FIELDING SCH PUBL HLTH, WORLD POLICY ANAL CTR, 621 CHARLES E YOUNG DR S,2213-LSB, LOS ANGELES, CA 90095 USA.; [VINCENT, ILONA; ATABAY, EFE; KRANZ, GABRIELLA] MCGILL UNIV, INST HLTH & SOCIAL POLICY, MONTREAL, PQ, CANADA.; [NANDI, ARIJIT] MCGILL UNIV, DEPT EPIDEMIOL BIOSTAT & OCCUPAT HLTH, MONTREAL, PQ, CANADA.	2018	POLITICAL SCIENCE; WOMEN'S STUDIES	9.0	male	2.0	female	7.0
ISI000430099000004	MCKEEN, WENDY	"\\\""\\\""WELFARE MOTHER\\\"" ACTIVISM, MAINSTREAM FEMINISM, AND THE CUNNING OF HISTORY IN ONTARIO'S 1970S WELFARE DEBATE\\""\"""""	JOURNAL OF WOMEN POLITICS & POLICY	"\\\""THIS ARTICLE EXAMINES THE VOICE OF MOBILIZED WELFARE MOTHERS AND THE MAINSTREAM WOMEN'S MOVEMENT IN THE WELFARE DEBATE OF THE 1970S IN ONTARIO. A QUESTION DEBATED WAS WHETHER WELFARE MOTHERS HAD A RIGHT TO \\\""STAY HOME\\\"" WHILE RECEIVING WELFARE. THE ARTICLE SHOWS THAT A RADICAL STRAIN OF WELFARE MOTHER ACTIVISTS AT THIS TIME DEMANDED RECOGNITION OF WOMEN'S UNPAID WORK. WHILE MAINSTREAM WOMEN'S GROUPS WERE GENERALLY SYMPATHETIC TO WELFARE MOTHERS, THEIR OVERRIDING FOCUS ON EMPLOYABILITY AS THE SOLUTION TO THEIR POVERTY SERVED TO DERAIL THE RADICAL POSSIBILITIES OF WELFARE MOTHER POLITICS AND SOLIDIFY A POLICY AGENDA THAT UNDERMINED THE DESERVING STATUS OF WELFARE MOTHERS.\\""\"""""	[MCKEEN, WENDY] YORK UNIV, SCH SOCIAL WORK, S874 ROSS BLDG,4700 KEELE ST, TORONTO, ON M3J 1P3, CANADA.	2018	POLITICAL SCIENCE; WOMEN'S STUDIES	1.0			female	1.0
ISI000430099000005	NORRIS, MIKEL; TANKERSLEY, HOLLEY	WOMEN RULE: GENDERED LEADERSHIP AND STATE SUPREME COURT CHIEF JUSTICE SELECTION	JOURNAL OF WOMEN POLITICS & POLICY	WHILE WOMEN ARE UNDERREPRESENTED IN MANY POLITICAL INSTITUTIONS AND LEADERSHIP POSITIONS, NEARLY HALF OF STATE SUPREME COURT CHIEF JUSTICES ARE WOMEN. IS THERE SOMETHING ABOUT THE ROLE OF STATE SUPREME COURT JUSTICE THAT FACILITATES THE RECRUITMENT OF WOMEN TO THIS IMPORTANT POLITICAL POSITION? WE EXAMINE WHETHER THE SELECTION OF A WOMAN CHIEF IS DRIVEN BY THE COURT'S INSTITUTIONAL NEED FOR WOMEN'S LEADERSHIP STYLE OR SIMPLY THE SUPPLY OF QUALIFIED JUSTICES. WE FIND THAT IDEOLOGICAL DIVERSITY DRIVES DEMAND FOR A WOMAN CHIEF. A SUPPLY OF EXPERIENCED WOMEN JUSTICES ALSO HAS A SIGNIFICANT IMPACT ON LIKELIHOOD OF SELECTION.	[NORRIS, MIKEL; TANKERSLEY, HOLLEY] COASTAL CAROLINA UNIV, POLIT, CONWAY, SC 29528 USA.; [TANKERSLEY, HOLLEY] COASTAL CAROLINA UNIV, COLL HUMANITIES & FINE ARTS, CONWAY, SC 29528 USA.	2018	POLITICAL SCIENCE; WOMEN'S STUDIES	2.0	male	1.0	female	1.0
ISI000430500900009	LITTIG, BEATE	GOOD WORK? SUSTAINABLE WORK AND SUSTAINABLE DEVELOPMENT: A CRITICAL GENDER PERSPECTIVE FROM THE GLOBAL NORTH	GLOBALIZATIONS	WORK HAS JUST RECENTLY BEEN RECOGNIZED AS AN IMPORTANT TOPIC IN THE DISCOURSE OF DEVELOPMENT. BUT OFTEN IT STAYS UNCLEAR HOW WORK IS RELATED TO ISSUES OF GENDER EQUALITY, AN INDISPENSABLE GOAL OF SUSTAINABLE DEVELOPMENT FROM ITS START. THE ARTICLE EXPLORES HOW GENDER AND WORK IS ADDRESSED IN THREE APPROACHES TO WORK AND SUSTAINABLE DEVELOPMENT, WHICH ARE CURRENTLY DISCUSSED IN THE GERMAN LANGUAGE LITERATURE ON THIS TOPIC: IN THE CURRENT MAINSTREAM CONCEPT OF THE GREEN ECONOMY AND GREEN JOBS, IN ALTERNATIVE CONCEPTS OF DEGROWTH OR POSTGROWTH SOCIETIES AND IN ECO-FEMINIST CONCEPTS OF CARING SOCIETIES. THE CRITICAL DISCUSSION OF THESE APPROACHES LEADS TO THE ARGUMENT THAT A FUNDAMENTAL REASSESSMENT AND REORGANIZATION OF THE CRITICAL SOCIETY-NATURE RELATIONSHIP AND CONSEQUENTLY A NEW CONCEPTUALIZATION OF SUSTAINABLE WORK IS NEEDED.	[LITTIG, BEATE] INST ADV STUDIES, DIV SOCIOECOL TRANSFORMAT RES, VIENNA, AUSTRIA.	2018	INTERNATIONAL RELATIONS; SOCIAL SCIENCES, INTERDISCIPLINARY	1.0			female	1.0
